k,alpha,shot,seed,modularity,nmi,n_used,collapsed,best_epoch,time
6,1.0,1,43,-0.05298813740372181,0.09379596726403143,5,False,0,4.494006872177124
6,1.0,2,44,0.0014242611645209225,0.20182264398405203,5,False,1,10.38158369064331
6,1.0,3,45,-0.032570603999175406,0.23776875813383866,6,False,0,9.01492190361023
6,1.0,4,46,-0.0746800097449448,0.1198205436879158,6,False,1,6.948215007781982
6,1.0,5,47,0.030902719214407535,0.09577868930484182,6,False,0,9.643153190612793
6,1.0,6,48,-0.10565769007327448,0.20775603416120245,6,False,0,5.134419202804565
6,1.0,7,49,-0.08850096512434176,0.04998911782692478,6,False,0,5.857489109039307
6,1.0,8,50,0.04921197128989337,0.16429720441358264,6,False,0,9.636677265167236
6,1.0,9,51,0.01092558235415379,0.2281608043474225,6,False,0,22.728079080581665
6,10.0,0,42,-0.03143681715110285,0.10687198938173606,6,False,2,6.982760190963745
6,10.0,1,43,-0.05298813740372181,0.09379596726403143,5,False,0,7.697848081588745
6,10.0,2,44,0.0014242611645209225,0.20182264398405203,5,False,1,9.23057770729065
6,10.0,3,45,-0.032570603999175406,0.23776875813383866,6,False,0,4.377914905548096
6,10.0,4,46,-0.0746800097449448,0.1198205436879158,6,False,1,9.958664894104004
6,10.0,5,47,0.030902719214407535,0.09577868930484182,6,False,0,8.322445154190063
6,10.0,6,48,-0.10565769007327448,0.20775603416120245,6,False,0,4.223714113235474
6,10.0,7,49,-0.08850096512434176,0.04998911782692478,6,False,0,19.157532930374146
6,10.0,8,50,0.04921197128989337,0.16429720441358264,6,False,0,10.870653867721558
6,10.0,9,51,0.01092558235415379,0.2281608043474225,6,False,0,7.845407009124756
