graph,config,shot_seed,k,mod,nmi,used_k,collapse,best_epoch,time,error
lfr_n500_mu0.3,baseline,46,11,0.014832115644290038,0.0666573432286066,10,False,2,6.268099069595337,
lfr_n500_mu0.3,baseline,47,11,0.008561077353395048,0.057981416637565196,9,False,2,7.507550954818726,
lfr_n500_mu0.3,baseline,45,11,0.005661108699845693,0.008810447783640487,2,True,7,8.343805313110352,
lfr_n500_mu0.3,baseline,49,11,0.0007493610146603854,0.006295738734799485,2,True,5,8.631836175918579,
lfr_n500_mu0.3,baseline,42,11,0.037291425540123394,0.10478880502513872,2,True,21,8.996111869812012,
lfr_n500_mu0.3,baseline,50,11,0.019747841917438242,0.05742392979784131,10,False,2,4.974940061569214,
lfr_n500_mu0.3,baseline,51,11,0.013641312210648158,0.05148068728094153,11,False,0,4.396892070770264,
lfr_n500_mu0.3,baseline,48,11,0.00039472415123455575,0.0756796632340487,11,False,2,11.977777242660522,
lfr_n500_mu0.3,baseline,53,11,0.011162049093364228,0.054507669247596105,3,True,51,5.1089441776275635,
lfr_n500_mu0.3,baseline,43,11,0.0066182605131172864,0.02405722739196682,4,False,11,13.979501962661743,
lfr_n500_mu0.3,baseline,44,11,0.00965904706790122,0.022643260917896386,5,True,4,14.290634155273438,
lfr_n500_mu0.3,baseline,52,11,0.0035887466242283906,0.07623993650854416,11,False,0,7.122111082077026,
lfr_n500_mu0.3,baseline,57,11,0.0,0.0,1,True,0,4.6636741161346436,
lfr_n500_mu0.3,baseline,55,11,0.010158420138888884,0.06233163225594359,11,False,1,7.245816946029663,
lfr_n500_mu0.3,baseline,58,11,0.13812445746527777,0.11392751226949543,2,False,39,6.507406711578369,
lfr_n500_mu0.3,baseline,56,11,0.01287850839120366,0.047983773648599196,10,False,2,8.399654865264893,
lfr_n500_mu0.3,baseline,54,11,0.012663845486111155,0.04749531992801604,8,False,3,12.401787042617798,
lfr_n500_mu0.3,baseline,60,11,0.0,0.0,1,True,0,7.257999658584595,
lfr_n500_mu0.3,baseline,59,11,0.010291883680555558,0.06322721818293851,11,False,0,9.513567924499512,
lfr_n500_mu0.3,ortho,42,11,0.002490535783179007,0.05652628411087032,11,False,0,7.024784088134766,
lfr_n500_mu0.3,ortho,43,11,-0.018698338638117287,0.05093734894401228,11,False,0,5.3594207763671875,
lfr_n500_mu0.3,baseline,61,11,0.002363160686728365,0.038967787872533764,7,False,5,8.710600137710571,
lfr_n500_mu0.3,ortho,45,11,-0.009096257716049385,0.05430964631231936,11,False,0,4.3800129890441895,
lfr_n500_mu0.3,ortho,46,11,0.010597149884259253,0.05979916855951096,11,False,0,4.450008153915405,
lfr_n500_mu0.3,ortho,47,11,-0.00772165557484568,0.051646483008520705,10,False,0,4.4409918785095215,
lfr_n500_mu0.3,ortho,50,11,-0.002299442997685213,0.053501437490595466,10,False,0,4.298517942428589,
lfr_n500_mu0.3,ortho,44,11,-0.013866343557098763,0.05908459580266564,10,False,0,8.395148038864136,
lfr_n500_mu0.3,ortho,51,11,0.013641312210648158,0.05148068728094153,11,False,0,5.133005142211914,
lfr_n500_mu0.3,ortho,53,11,-0.006355492862654323,0.06261684764859932,11,False,0,5.405064105987549,
lfr_n500_mu0.3,ortho,57,11,-0.010411783854166672,0.055522191465178054,11,False,0,4.387821912765503,
lfr_n500_mu0.3,ortho,49,11,0.0004947313850308432,0.05405206659247967,11,False,0,10.515613794326782,
lfr_n500_mu0.3,ortho,52,11,0.0035887466242283906,0.07623993650854416,11,False,0,9.607048034667969,
lfr_n500_mu0.3,ortho,48,11,-0.005501060956790135,0.048783780835688434,11,False,0,11.545947074890137,
lfr_n500_mu0.3,ortho,56,11,-0.0027155068479938187,0.06578084417784158,11,False,0,8.875540971755981,
lfr_n500_mu0.3,ortho,55,11,0.010158420138888884,0.06233163225594359,11,False,1,10.378314971923828,
