graph,k,lr,alpha_ortho,epochs,shot,best_epoch,modularity,nmi,n_used,collapsed,time,error
karate,5,0.001,0.1,10000,46,11,-0.01614474991098368,0.1689391858866687,4,False,17.21165704727173,
karate,5,0.001,1.0,3000,42,9,-0.07583253687149792,0.021829710682485855,5,False,5.0985939502716064,
karate,5,0.001,1.0,3000,43,30,-0.037255673619309974,0.17971768179704656,5,False,5.033293962478638,
karate,5,0.001,1.0,3000,44,3,-0.08552126084593617,0.145568762076282,5,False,5.0806968212127686,
karate,5,0.001,1.0,3000,45,8,-0.0572984014542456,0.05651077824517335,5,False,5.14359712600708,
karate,5,0.001,1.0,3000,46,6,-0.05642697850490059,0.07099413351855198,5,False,5.064491033554077,
karate,5,0.001,0.5,10000,42,15,0.03524109368265214,0.23924285924663077,5,False,17.247899055480957,
karate,5,0.001,0.5,10000,43,24,0.007758475290942821,0.07640151392147589,4,False,17.074776649475098,
karate,5,0.001,0.5,10000,44,6,0.12919547984483049,0.12884028089971947,4,False,17.074437856674194,
karate,5,0.001,0.5,10000,45,8,-0.0572984014542456,0.05651077824517335,5,False,16.718720197677612,
karate,5,0.005,0.0,3000,42,5,0.020061468113416202,0.13206660474683157,4,False,4.823060035705566,
karate,5,0.001,0.5,10000,46,6,-0.05642697850490059,0.07099413351855198,5,False,16.979088068008423,
karate,5,0.005,0.0,3000,43,29,0.18043140121062198,0.3169932166591199,2,False,4.814779996871948,
karate,5,0.005,0.0,3000,44,0,0.0,0.0,1,True,4.875329971313477,
karate,5,0.005,0.0,3000,45,0,0.0,0.0,1,True,4.873152017593384,
karate,5,0.001,1.0,10000,42,9,-0.07583253687149792,0.021829710682485855,5,False,16.99154305458069,
karate,5,0.005,0.0,3000,46,5,0.028560184404340355,0.18963325040038226,4,True,4.83845591545105,
karate,5,0.001,1.0,10000,43,30,-0.037255673619309974,0.17971768179704656,5,False,17.062564849853516,
karate,5,0.001,1.0,10000,44,3,-0.08552126084593617,0.145568762076282,5,False,16.950543880462646,
karate,5,0.001,1.0,10000,46,6,-0.05642697850490059,0.07099413351855198,5,False,17.006262063980103,
karate,5,0.001,1.0,10000,45,8,-0.0572984014542456,0.05651077824517335,5,False,17.160180807113647,
karate,5,0.005,0.0,10000,42,5,0.020061468113416202,0.13206660474683157,4,False,7.654068946838379,
karate,5,0.005,0.1,3000,42,4,0.01621971102490585,0.08344925090314004,4,False,5.060454845428467,
karate,5,0.005,0.1,3000,43,29,0.15604092876820147,0.34063749974501,3,False,5.1616058349609375,
karate,5,0.005,0.1,3000,44,1,-0.05545248402391259,0.17179087312641395,5,False,5.1718220710754395,
karate,5,0.005,0.1,3000,45,2,-0.01707239369577034,0.048799767824310746,5,False,5.220535039901733,
karate,5,0.005,0.0,10000,43,29,0.18043140121062198,0.3169932166591199,2,False,14.332385778427124,
karate,5,0.005,0.1,3000,46,5,0.028560184404340355,0.18963325040038226,4,True,5.163712739944458,
karate,5,0.005,0.0,10000,45,0,0.0,0.0,1,True,13.101760149002075,
karate,5,0.005,0.0,10000,44,0,0.0,0.0,1,True,16.16806411743164,
karate,5,0.005,0.0,10000,46,5,0.028560184404340355,0.18963325040038226,4,True,12.22444486618042,
karate,5,0.005,0.1,10000,42,4,0.01621971102490585,0.08344925090314004,4,False,9.983804941177368,
karate,5,0.005,0.5,3000,42,2,-0.07296527426397557,0.06178763804160973,5,False,5.204776287078857,
karate,5,0.005,0.5,3000,43,2,-0.04102246959389818,0.04634468962297985,4,False,5.221170902252197,
karate,5,0.005,0.5,3000,44,4,-0.06909540675774441,0.02789559718353777,5,False,5.269373893737793,
karate,5,0.005,0.1,10000,43,29,0.15604092876820147,0.34063749974501,3,False,11.478003025054932,
karate,5,0.005,0.5,3000,45,0,-0.058844474428890015,0.058678643128829276,5,False,5.281247854232788,
karate,5,0.005,0.5,3000,46,6,-0.02579599332846085,0.10588280476262081,5,False,5.267807960510254,
karate,5,0.005,0.1,10000,46,5,0.028560184404340355,0.18963325040038226,4,True,11.892802953720093,
karate,5,0.005,0.1,10000,45,2,-0.01707239369577034,0.048799767824310746,5,False,14.217533826828003,
karate,5,0.005,0.1,10000,44,1,-0.05545248402391259,0.17179087312641395,5,False,16.98779606819153,
karate,5,0.005,0.5,10000,42,2,-0.07296527426397557,0.06178763804160973,5,False,9.576982021331787,
karate,5,0.005,1.0,3000,42,2,-0.07296527426397557,0.06178763804160973,5,False,5.1087658405303955,
karate,5,0.005,1.0,3000,43,2,-0.04102246959389818,0.04634468962297985,4,False,5.2125678062438965,
karate,5,0.005,1.0,3000,44,4,-0.06909540675774441,0.02789559718353777,5,False,5.223186254501343,
karate,5,0.005,1.0,3000,45,0,-0.058844474428890015,0.058678643128829276,5,False,5.1935200691223145,
karate,5,0.005,1.0,3000,46,6,-0.02579599332846085,0.10588280476262081,5,False,5.088694095611572,
